episode_id,timestamp,scenario_id,flow_id,source,destination,rate_mbps,throughput_mbps,delay_ms,packet_loss,sla_violation_risk,sla_violation,max_link_utilization,max_queue_delay_ms
episode_0006,2,background_surge,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0006,2,background_surge,f3,n2,n6,45.0,40.5,48.6667,0.02,0.6083,False,0.9,27.6667
episode_0006,3,background_surge,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0006,3,background_surge,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0006,3,background_surge,f3,n2,n6,45.0,40.5,48.6667,0.02,0.6083,False,0.9,27.6667
episode_0006,4,background_surge,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0006,4,background_surge,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0006,4,background_surge,f3,n2,n6,45.0,40.5,48.6667,0.02,0.6083,False,0.9,27.6667
episode_0006,5,background_surge,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0006,5,background_surge,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0006,5,background_surge,f3,n2,n6,45.0,40.5,48.6667,0.02,0.6083,False,0.9,27.6667
